Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
302,309,106,2,2.5,2.5,8,0,0.62
303,319,108,2,2.5,3,8.76,0,0.66
304,322,105,2,3,3,8.45,1,0.65
305,323,107,3,3.5,3.5,8.55,1,0.73
306,,106,2,2.5,2,8.43,0,0.62
307,321,109,3,3.5,3.5,8.8,1,0.74
308,323,110,3,4,3.5,9.1,1,0.79
309,325,112,4,4,4,9,1,0.8
310,312,108,3,3.5,3,8.53,0,0.69
311,308,110,4,3.5,3,8.6,0,0.7
312,320,104,3,3,3.5,8.74,1,0.76
313,328,108,4,4.5,4,9.18,1,0.84
314,311,107,4,4.5,4.5,9,1,0.78
315,301,100,3,3.5,3,8.04,0,0.67
316,305,105,2,3,4,8.13,0,0.66
317,308,104,2,2.5,3,8.07,0,0.65
318,298,101,2,1.5,2,7.86,0,0.54
319,300,99,1,1,2.5,8.01,0,0.58
320,324,111,3,2.5,2,8.8,1,0.79
321,327,113,4,3.5,3,8.69,1,0.8
322,317,106,3,4,3.5,8.5,1,0.75
323,323,104,3,4,4,8.44,1,0.73
324,314,107,2,2.5,4,8.27,0,0.72
325,305,102,2,2,2.5,8.18,0,0.62
326,315,104,3,3,2.5,8.33,0,0.67
327,326,116,3,3.5,4,9.14,1,0.81
328,299,100,3,2,2,8.02,0,0.63
329,295,101,2,2.5,2,7.86,0,0.69
330,324,112,4,4,3.5,8.77,1,0.8
331,297,96,2,2.5,1.5,7.89,0,0.43
332,327,113,3,3.5,3,8.66,1,0.8
333,311,105,2,3,2,8.12,1,0.73
334,308,106,3,3.5,2.5,8.21,1,0.75
335,319,108,3,3,3.5,8.54,1,0.71
336,312,107,4,4.5,4,8.65,1,0.73
337,325,111,4,4,4.5,9.11,1,0.83
338,319,110,3,3,2.5,8.79,0,0.72
339,332,118,5,5,5,9.47,1,0.94
340,323,108,5,4,4,8.74,1,0.81
341,324,107,5,3.5,4,8.66,1,0.81
342,312,107,3,3,3,8.46,1,0.75
343,326,110,3,3.5,3.5,8.76,1,0.79
344,308,106,3,3,3,8.24,0,0.58
345,305,103,2,2.5,3.5,8.13,0,0.59
346,295,96,2,1.5,2,7.34,0,0.47
347,316,98,1,1.5,2,7.43,0,0.49
348,304,97,2,1.5,2,7.64,0,0.47
349,299,94,1,1,1,7.34,0,0.42
350,302,99,1,2,2,7.25,0,0.57
351,313,101,3,2.5,3,8.04,0,0.62
352,318,107,3,3,3.5,8.27,1,0.74
353,325,110,4,,4,8.67,1,0.73
354,,100,2,3,3.5,8.06,1,0.64
355,300,102,3,3.5,2.5,8.17,0,0.63
356,297,98,2,2.5,3,7.67,0,0.59
357,317,106,2,2,3.5,8.12,0,0.73
358,327,109,3,3.5,4,8.77,1,0.79
359,301,104,2,3.5,3.5,7.89,1,0.68
360,314,105,2,2.5,2,7.64,0,0.7
361,321,107,2,2,1.5,8.44,0,0.81
362,322,110,3,4,5,8.64,1,0.85
363,334,116,4,4,3.5,,1,0.93
364,338,115,5,4.5,5,9.23,1,0.91
365,306,103,2,2.5,3,8.36,0,0.69
366,313,102,3,3.5,4,8.9,1,0.77
367,330,114,4,4.5,3,9.17,1,0.86
368,320,104,3,3.5,4.5,8.34,1,0.74
369,311,98,1,1,2.5,7.46,0,0.57
370,298,92,1,2,2,7.88,0,0.51
371,301,,1,2,3,8.03,1,0.67
372,310,103,2,2.5,2.5,8.24,0,0.72
373,324,110,3,3.5,3,9.22,1,0.89
374,336,119,4,4.5,4,9.62,1,0.95
375,321,109,3,3,3,8.54,1,0.79
376,315,105,2,2,2.5,7.65,0,0.39
377,304,101,2,2,2.5,7.66,0,0.38
378,297,96,2,2.5,2,7.43,0,0.34
379,290,100,1,1.5,2,7.56,0,0.47
380,303,98,1,2,2.5,7.65,0,0.56
381,311,99,1,,3,8.43,1,0.71
382,322,104,3,3.5,4,8.84,1,0.78
383,319,105,3,3,3.5,8.67,1,0.73
384,,110,4,4.5,4,9.15,1,0.82
385,300,100,3,3,3.5,8.26,0,0.62
386,340,113,4,5,5,9.74,1,0.96
387,335,117,5,5,5,9.82,1,0.96
388,302,101,2,2.5,3.5,,0,0.46
389,307,105,2,2,3.5,8.1,0,0.53
390,296,97,2,1.5,2,7.8,0,0.49
391,320,108,3,3.5,4,8.44,1,0.76
392,314,102,2,2,2.5,8.24,0,0.64
393,318,106,3,2,3,8.65,0,0.71
394,326,112,4,4,3.5,9.12,1,0.84
395,317,104,2,3,3,8.76,0,0.77
396,329,111,4,4.5,,9.23,1,0.89
397,324,110,3,3.5,3.5,9.04,1,0.82
398,325,107,3,3,3.5,9.11,1,0.84
399,330,116,4,5,4.5,9.45,1,0.91
400,312,103,3,3.5,4,8.78,0,0.67
401,333,117,4,5,4,,1,0.95
402,,100,2,3.5,3,8.22,0,0.63
403,315,105,2,3,3,8.34,0,0.66
404,324,109,3,3.5,3,8.94,1,0.78
405,330,116,4,4,3.5,9.23,1,0.91
406,311,101,3,2,2.5,7.64,1,0.62
407,302,99,3,2.5,3,7.45,0,0.52
408,322,103,4,3,2.5,8.02,1,0.61
409,298,100,3,2.5,4,7.95,1,0.58
410,297,101,3,2,4,7.67,1,0.57
411,300,98,1,2,2.5,8.02,0,0.61
412,301,96,1,3,4,7.56,0,0.54
413,313,94,2,2.5,1.5,8.13,0,0.56
414,314,102,4,2.5,2,7.88,1,0.59
415,317,101,3,3,2,7.94,1,0.49
416,321,110,4,3.5,4,8.35,1,0.72
417,327,106,4,4,4.5,8.75,1,0.76
418,315,104,3,4,2.5,8.1,0,0.65
419,316,103,3,3.5,2,7.68,0,0.52
420,309,111,2,2.5,4,8.03,0,0.6
421,308,102,2,2,3.5,7.98,1,0.58
422,299,100,3,2,3,7.42,0,0.42
423,321,112,3,3,4.5,8.95,1,0.77
424,322,112,4,3.5,2.5,9.02,1,0.73
425,334,119,5,4.5,5,9.54,1,0.94
426,325,114,5,4,5,9.46,1,0.91
427,323,111,5,4,5,9.86,1,0.92
428,,106,3,3,5,8.57,0,0.71
429,310,101,3,3.5,5,8.65,1,0.71
430,316,103,2,2,4.5,8.74,0,0.69
431,340,115,5,5,4.5,9.06,1,0.95
432,311,104,3,4,3.5,8.13,1,0.74
433,320,112,2,3.5,,8.78,1,0.73
434,324,112,4,4.5,4,9.22,1,0.86
435,316,111,4,4,5,8.54,0,0.71
436,306,103,3,3.5,3,8.21,0,0.64
437,309,105,2,2.5,4,7.68,0,0.55
438,310,110,1,1.5,4,7.23,1,0.58
439,317,106,1,1.5,3.5,7.65,1,0.61
440,318,110,1,2.5,3.5,8.54,1,0.67
441,312,105,2,1.5,3,8.46,0,0.66
442,305,104,2,2.5,1.5,7.79,0,0.53
443,332,112,1,1.5,3,,1,0.79
444,331,116,4,4.5,4.5,9.44,1,0.92
445,321,114,,4.5,4.5,9.16,1,0.87
446,324,113,5,4,5,9.25,1,0.92
447,328,116,5,4.5,5,9.08,1,0.91
448,327,118,4,5,5,9.67,1,0.93
449,320,108,3,3.5,5,8.97,1,0.84
450,312,109,2,2.5,4,9.02,0,0.8
451,315,101,3,3.5,4.5,9.13,0,0.79
452,320,112,4,3,4.5,8.86,1,0.82
453,324,113,4,4.5,4.5,9.25,1,0.89
454,328,116,4,5,3.5,9.6,1,0.93
455,319,103,3,2.5,4,8.76,1,0.73
456,310,105,2,3,3.5,8.01,0,0.71
457,305,102,2,1.5,2.5,7.64,0,0.59
458,299,100,2,2,2,7.88,0,0.51
459,295,99,1,2,1.5,7.57,0,0.37
460,312,100,1,3,3,8.53,1,0.69
461,329,113,4,4,3.5,9.36,1,0.89
462,319,105,4,4,4.5,8.66,1,0.77
463,301,102,3,2.5,2,8.13,1,0.68
464,307,105,4,3,3,7.94,0,0.62
465,304,107,3,3.5,3,7.86,0,0.57
466,298,97,2,2,3,7.21,0,0.45
467,305,96,4,3,4.5,8.26,0,0.54
468,314,99,4,3.5,4.5,8.73,1,0.71
469,318,101,5,3.5,5,8.78,1,0.78
470,323,110,4,4,5,8.88,1,0.81
471,326,114,4,4,3.5,9.16,1,0.86
472,320,110,5,4,4,9.27,1,0.87
473,311,103,3,2,4,8.09,0,0.64
474,327,116,4,4,4.5,9.48,1,0.9
475,316,102,2,4,3.5,8.15,0,0.67
476,308,105,4,3,2.5,7.95,1,0.67
477,300,101,3,3.5,2.5,7.88,0,0.59
478,304,104,3,2.5,2,8.12,0,0.62
479,309,105,4,3.5,2,8.18,0,0.65
480,318,103,3,4,4.5,8.49,1,0.71
481,325,110,4,4.5,4,8.96,1,0.79
482,321,102,3,3.5,4,9.01,1,0.8
483,323,107,4,3,2.5,8.48,1,0.78
484,328,113,4,4,2.5,8.77,1,0.83
485,304,103,5,5,3,7.92,0,0.71
486,317,106,3,3.5,3,7.89,1,0.73
487,311,101,2,2.5,3.5,8.34,1,0.7
488,319,102,3,2.5,2.5,8.37,0,0.68
489,327,115,4,3.5,4,9.14,0,0.79
490,322,112,3,3,4,8.62,1,0.76
491,302,110,3,4,4.5,8.5,0,0.65
492,307,105,2,2.5,4.5,8.12,1,0.67
493,297,99,4,3,3.5,7.81,0,0.54
494,298,101,4,2.5,4.5,7.69,1,0.53
495,300,95,2,3,1.5,8.22,1,0.62
496,301,99,3,2.5,2,8.45,1,0.68
497,,108,5,4.5,4,9.02,1,0.87
498,337,117,5,5,5,9.87,1,0.96
499,330,120,5,4.5,5,9.56,1,0.93
500,312,103,4,4,5,8.43,0,0.73
501,327,113,4,4.5,4.5,9.04,0,0.84
502,,109,3,4,3,8,1,0.62
503,311,104,3,3.5,2,8.2,1,0.61
504,314,105,3,3.5,2.5,8.3,0,0.54
505,317,107,3,4,3,8.7,0,0.66
506,319,106,3,4,3,,1,0.65
507,318,110,3,4,3,8.8,0,0.63
508,303,102,3,3.5,3,8.5,0,0.62
509,312,107,3,3,2,7.9,1,0.64
510,325,114,4,3,2,8.4,0,0.7
511,328,116,5,5,5,9.5,1,0.94
512,334,119,5,5,4.5,9.7,1,0.95
513,336,119,5,4,3.5,9.8,1,0.97
514,340,120,5,4.5,4.5,9.6,,0.94
515,322,109,5,4.5,3.5,8.8,0,0.76
516,298,98,2,1.5,2.5,7.5,1,0.44
517,337,,4,4.5,4.5,9.65,1,0.92
518,324,107,4,4,4.5,8.87,1,0.76
519,316,104,3,3,3.5,8,1,0.72
520,,110,3,3.5,2.5,8.67,1,0.8
521,314,103,2,2,3,8.21,0,0.65
522,330,115,5,4.5,3,9.34,,0.9
523,321,109,3,3,4,8.2,1,0.75
524,308,,2,3,4,7.9,0,0.68
525,302,102,1,2,1.5,,0,0.5
526,323,108,3,,3,8.6,0,0.45
527,325,106,3,3.5,4,8.4,1,0.52
528,327,111,4,4,,9,1,0.84
529,305,96,4,3,4.5,8.26,0,0.54
530,314,99,4,3.5,4.5,8.73,1,0.71
531,318,101,5,3.5,5,8.78,1,0.78
532,323,110,4,4,5,8.88,1,0.81
533,326,114,4,4,3.5,9.16,1,0.86
534,320,110,5,4,4,9.27,1,0.87
535,311,103,3,2,4,8.09,0,0.64
536,327,116,4,4,4.5,9.48,1,0.9
537,316,102,2,4,3.5,8.15,0,0.67
538,308,105,4,3,2.5,7.95,1,0.67
539,300,101,3,3.5,2.5,7.88,0,0.59
540,312,101,2,2.5,3.5,8.04,1,0.68
541,334,117,5,4,4.5,9.07,1,0.89
542,322,110,4,4,5,9.13,1,0.86
543,323,113,4,4,4.5,9.23,1,0.89
544,321,111,4,4,4,8.97,1,0.87
545,320,111,4,4.5,3.5,8.87,1,0.85
546,329,119,4,4.5,4.5,9.16,1,0.9
547,319,110,3,3.5,3.5,9.04,0,0.82
548,309,108,3,2.5,3,8.12,0,0.72
549,307,102,3,3,3,8.27,0,0.73
550,300,104,3,3.5,3,8.16,0,0.71
551,300,99,1,1,2.5,8.01,0,0.58
552,324,111,3,2.5,2,8.8,1,0.79
553,327,113,4,3.5,3,8.69,1,0.8
554,317,106,3,4,3.5,8.5,1,0.75
555,323,104,3,4,4,8.44,1,0.73
556,314,107,2,2.5,4,8.27,0,0.72
557,305,102,2,2,2.5,8.18,0,0.62
558,315,104,3,3,2.5,8.33,0,0.67
559,326,116,3,3.5,4,9.14,1,0.81
560,299,100,3,2,2,8.02,0,0.63
561,295,101,2,2.5,2,7.86,0,0.69
562,324,112,4,4,3.5,8.77,1,0.8
563,297,96,2,2.5,1.5,7.89,0,0.43
564,327,113,3,3.5,3,8.66,1,0.8
565,311,105,2,3,2,8.12,1,0.73
566,308,106,3,3.5,2.5,8.21,1,0.75
567,319,108,3,3,3.5,8.54,1,0.71
568,312,107,4,4.5,4,8.65,1,0.73
569,325,111,4,4,4.5,9.11,1,0.83
570,319,110,3,3,2.5,8.79,0,0.72
571,332,118,5,5,5,9.47,1,0.94
572,323,108,5,4,4,8.74,1,0.81
573,324,107,5,3.5,4,8.66,1,0.81
574,312,107,3,3,3,8.46,1,0.75
575,326,110,3,3.5,3.5,8.76,1,0.79
576,308,106,3,3,3,8.24,0,0.58
577,305,103,2,2.5,3.5,8.13,0,0.59
578,295,96,2,1.5,2,7.34,0,0.47
579,316,98,1,1.5,2,7.43,0,0.49
580,304,97,2,1.5,2,7.64,0,0.47
581,299,94,1,1,1,7.34,0,0.42
582,302,99,1,2,2,7.25,0,0.57
583,313,101,3,2.5,3,8.04,0,0.62
584,318,107,3,3,3.5,8.27,1,0.74
585,325,110,4,,4,8.67,1,0.73
586,,100,2,3,3.5,8.06,1,0.64
587,300,102,3,3.5,2.5,8.17,0,0.63
588,297,98,2,2.5,3,7.67,0,0.59
589,317,106,2,2,3.5,8.12,0,0.73
590,327,109,3,3.5,4,8.77,1,0.79
591,301,104,2,3.5,3.5,7.89,1,0.68
592,300,95,2,3,1.5,8.22,1,0.62
593,301,99,3,2.5,2,8.45,1,0.68
594,,108,5,4.5,4,9.02,1,0.87
595,337,117,5,5,5,9.87,1,0.96
596,330,120,5,4.5,5,9.56,1,0.93
597,312,103,4,4,5,8.43,0,0.73
598,327,113,4,4.5,4.5,9.04,0,0.84
599,,109,3,4,3,8,1,0.62
600,311,104,3,3.5,2,8.2,1,0.61
